PING 192.168.0.100 (192.168.0.100) 56(84) bytes of data.
64 bytes from 192.168.0.100: icmp_seq=9 ttl=64 time=1119 ms
64 bytes from 192.168.0.100: icmp_seq=10 ttl=64 time=131 ms
64 bytes from 192.168.0.100: icmp_seq=11 ttl=64 time=12.5 ms
64 bytes from 192.168.0.100: icmp_seq=12 ttl=64 time=49.6 ms
64 bytes from 192.168.0.100: icmp_seq=13 ttl=64 time=16.7 ms
64 bytes from 192.168.0.100: icmp_seq=14 ttl=64 time=14.2 ms
64 bytes from 192.168.0.100: icmp_seq=15 ttl=64 time=63.1 ms
64 bytes from 192.168.0.100: icmp_seq=18 ttl=64 time=2454 ms
64 bytes from 192.168.0.100: icmp_seq=19 ttl=64 time=1430 ms
64 bytes from 192.168.0.100: icmp_seq=20 ttl=64 time=406 ms
64 bytes from 192.168.0.100: icmp_seq=21 ttl=64 time=6.02 ms
64 bytes from 192.168.0.100: icmp_seq=22 ttl=64 time=95.6 ms
64 bytes from 192.168.0.100: icmp_seq=23 ttl=64 time=22.0 ms
64 bytes from 192.168.0.100: icmp_seq=24 ttl=64 time=11.8 ms
64 bytes from 192.168.0.100: icmp_seq=26 ttl=64 time=1108 ms
64 bytes from 192.168.0.100: icmp_seq=27 ttl=64 time=144 ms
64 bytes from 192.168.0.100: icmp_seq=28 ttl=64 time=22.3 ms
64 bytes from 192.168.0.100: icmp_seq=29 ttl=64 time=29.8 ms
64 bytes from 192.168.0.100: icmp_seq=30 ttl=64 time=19.2 ms
64 bytes from 192.168.0.100: icmp_seq=31 ttl=64 time=6.24 ms
64 bytes from 192.168.0.100: icmp_seq=32 ttl=64 time=17.5 ms
64 bytes from 192.168.0.100: icmp_seq=40 ttl=64 time=1887 ms
64 bytes from 192.168.0.100: icmp_seq=41 ttl=64 time=877 ms
64 bytes from 192.168.0.100: icmp_seq=42 ttl=64 time=7.99 ms
64 bytes from 192.168.0.100: icmp_seq=43 ttl=64 time=6.23 ms
64 bytes from 192.168.0.100: icmp_seq=44 ttl=64 time=13.9 ms
64 bytes from 192.168.0.100: icmp_seq=45 ttl=64 time=19.2 ms
64 bytes from 192.168.0.100: icmp_seq=46 ttl=64 time=10.4 ms
64 bytes from 192.168.0.100: icmp_seq=47 ttl=64 time=748 ms
64 bytes from 192.168.0.100: icmp_seq=48 ttl=64 time=6.45 ms
64 bytes from 192.168.0.100: icmp_seq=49 ttl=64 time=13.3 ms
64 bytes from 192.168.0.100: icmp_seq=50 ttl=64 time=11.0 ms
64 bytes from 192.168.0.100: icmp_seq=51 ttl=64 time=39.1 ms
64 bytes from 192.168.0.100: icmp_seq=52 ttl=64 time=17.0 ms
64 bytes from 192.168.0.100: icmp_seq=54 ttl=64 time=1556 ms
64 bytes from 192.168.0.100: icmp_seq=55 ttl=64 time=551 ms
64 bytes from 192.168.0.100: icmp_seq=56 ttl=64 time=28.5 ms
64 bytes from 192.168.0.100: icmp_seq=57 ttl=64 time=6.19 ms
64 bytes from 192.168.0.100: icmp_seq=58 ttl=64 time=20.4 ms
64 bytes from 192.168.0.100: icmp_seq=59 ttl=64 time=23.0 ms
64 bytes from 192.168.0.100: icmp_seq=60 ttl=64 time=39.2 ms

--- 192.168.0.100 ping statistics ---
60 packets transmitted, 41 received, 31.6667% packet loss, time 59615ms
rtt min/avg/max/mdev = 6.015/318.502/2453.610/589.079 ms, pipe 3
