PING 192.168.0.200 (192.168.0.200) 56(84) bytes of data.
64 bytes from 192.168.0.200: icmp_seq=1 ttl=64 time=22.3 ms
64 bytes from 192.168.0.200: icmp_seq=2 ttl=64 time=6.84 ms
64 bytes from 192.168.0.200: icmp_seq=3 ttl=64 time=7.22 ms
64 bytes from 192.168.0.200: icmp_seq=4 ttl=64 time=7.29 ms
64 bytes from 192.168.0.200: icmp_seq=5 ttl=64 time=6.78 ms
64 bytes from 192.168.0.200: icmp_seq=6 ttl=64 time=9.50 ms
64 bytes from 192.168.0.200: icmp_seq=7 ttl=64 time=7.17 ms
64 bytes from 192.168.0.200: icmp_seq=8 ttl=64 time=6.65 ms
64 bytes from 192.168.0.200: icmp_seq=9 ttl=64 time=10.6 ms
64 bytes from 192.168.0.200: icmp_seq=10 ttl=64 time=8.78 ms
64 bytes from 192.168.0.200: icmp_seq=11 ttl=64 time=7.59 ms
64 bytes from 192.168.0.200: icmp_seq=12 ttl=64 time=22.2 ms
64 bytes from 192.168.0.200: icmp_seq=13 ttl=64 time=11.2 ms
64 bytes from 192.168.0.200: icmp_seq=14 ttl=64 time=7.21 ms
64 bytes from 192.168.0.200: icmp_seq=15 ttl=64 time=7.25 ms
64 bytes from 192.168.0.200: icmp_seq=16 ttl=64 time=7.72 ms
64 bytes from 192.168.0.200: icmp_seq=17 ttl=64 time=8.62 ms
64 bytes from 192.168.0.200: icmp_seq=18 ttl=64 time=25.6 ms
64 bytes from 192.168.0.200: icmp_seq=19 ttl=64 time=8.86 ms
64 bytes from 192.168.0.200: icmp_seq=20 ttl=64 time=6.74 ms
64 bytes from 192.168.0.200: icmp_seq=21 ttl=64 time=7.97 ms
64 bytes from 192.168.0.200: icmp_seq=22 ttl=64 time=9.34 ms
64 bytes from 192.168.0.200: icmp_seq=23 ttl=64 time=13.6 ms
64 bytes from 192.168.0.200: icmp_seq=24 ttl=64 time=23.8 ms
64 bytes from 192.168.0.200: icmp_seq=25 ttl=64 time=9.75 ms
64 bytes from 192.168.0.200: icmp_seq=26 ttl=64 time=7.17 ms
64 bytes from 192.168.0.200: icmp_seq=27 ttl=64 time=7.30 ms
64 bytes from 192.168.0.200: icmp_seq=28 ttl=64 time=7.81 ms
64 bytes from 192.168.0.200: icmp_seq=29 ttl=64 time=9.84 ms
64 bytes from 192.168.0.200: icmp_seq=30 ttl=64 time=21.6 ms
64 bytes from 192.168.0.200: icmp_seq=31 ttl=64 time=10.4 ms
64 bytes from 192.168.0.200: icmp_seq=32 ttl=64 time=6.16 ms
64 bytes from 192.168.0.200: icmp_seq=33 ttl=64 time=7.34 ms
64 bytes from 192.168.0.200: icmp_seq=34 ttl=64 time=7.17 ms
64 bytes from 192.168.0.200: icmp_seq=35 ttl=64 time=8.27 ms
64 bytes from 192.168.0.200: icmp_seq=36 ttl=64 time=22.8 ms
64 bytes from 192.168.0.200: icmp_seq=37 ttl=64 time=7.17 ms
64 bytes from 192.168.0.200: icmp_seq=38 ttl=64 time=6.66 ms
64 bytes from 192.168.0.200: icmp_seq=39 ttl=64 time=7.25 ms
64 bytes from 192.168.0.200: icmp_seq=40 ttl=64 time=12.3 ms
64 bytes from 192.168.0.200: icmp_seq=41 ttl=64 time=10.6 ms
64 bytes from 192.168.0.200: icmp_seq=42 ttl=64 time=22.4 ms
64 bytes from 192.168.0.200: icmp_seq=43 ttl=64 time=9.51 ms
64 bytes from 192.168.0.200: icmp_seq=44 ttl=64 time=9.65 ms
64 bytes from 192.168.0.200: icmp_seq=45 ttl=64 time=17.2 ms
64 bytes from 192.168.0.200: icmp_seq=46 ttl=64 time=7.06 ms
64 bytes from 192.168.0.200: icmp_seq=47 ttl=64 time=18.0 ms
64 bytes from 192.168.0.200: icmp_seq=48 ttl=64 time=22.9 ms
64 bytes from 192.168.0.200: icmp_seq=49 ttl=64 time=8.86 ms
64 bytes from 192.168.0.200: icmp_seq=50 ttl=64 time=6.18 ms
64 bytes from 192.168.0.200: icmp_seq=51 ttl=64 time=7.21 ms
64 bytes from 192.168.0.200: icmp_seq=52 ttl=64 time=7.16 ms
64 bytes from 192.168.0.200: icmp_seq=53 ttl=64 time=7.05 ms
64 bytes from 192.168.0.200: icmp_seq=54 ttl=64 time=21.7 ms
64 bytes from 192.168.0.200: icmp_seq=55 ttl=64 time=10.4 ms
64 bytes from 192.168.0.200: icmp_seq=56 ttl=64 time=6.30 ms
64 bytes from 192.168.0.200: icmp_seq=57 ttl=64 time=10.9 ms
64 bytes from 192.168.0.200: icmp_seq=58 ttl=64 time=7.17 ms
64 bytes from 192.168.0.200: icmp_seq=59 ttl=64 time=7.20 ms
64 bytes from 192.168.0.200: icmp_seq=60 ttl=64 time=22.1 ms

--- 192.168.0.200 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 59093ms
rtt min/avg/max/mdev = 6.164/10.989/25.630/5.743 ms
