PING 192.168.0.200 (192.168.0.200) 56(84) bytes of data.
64 bytes from 192.168.0.200: icmp_seq=1 ttl=64 time=40.0 ms
64 bytes from 192.168.0.200: icmp_seq=2 ttl=64 time=5.78 ms
64 bytes from 192.168.0.200: icmp_seq=3 ttl=64 time=6.78 ms
64 bytes from 192.168.0.200: icmp_seq=4 ttl=64 time=7.75 ms
64 bytes from 192.168.0.200: icmp_seq=5 ttl=64 time=7.89 ms
64 bytes from 192.168.0.200: icmp_seq=6 ttl=64 time=7.42 ms
64 bytes from 192.168.0.200: icmp_seq=7 ttl=64 time=30.8 ms
64 bytes from 192.168.0.200: icmp_seq=8 ttl=64 time=5.94 ms
64 bytes from 192.168.0.200: icmp_seq=9 ttl=64 time=6.80 ms
64 bytes from 192.168.0.200: icmp_seq=10 ttl=64 time=8.82 ms
64 bytes from 192.168.0.200: icmp_seq=11 ttl=64 time=6.80 ms
64 bytes from 192.168.0.200: icmp_seq=12 ttl=64 time=9.11 ms
64 bytes from 192.168.0.200: icmp_seq=13 ttl=64 time=24.1 ms
64 bytes from 192.168.0.200: icmp_seq=14 ttl=64 time=8.64 ms
64 bytes from 192.168.0.200: icmp_seq=15 ttl=64 time=6.51 ms
64 bytes from 192.168.0.200: icmp_seq=16 ttl=64 time=6.78 ms
64 bytes from 192.168.0.200: icmp_seq=17 ttl=64 time=6.79 ms
64 bytes from 192.168.0.200: icmp_seq=18 ttl=64 time=5.73 ms
64 bytes from 192.168.0.200: icmp_seq=19 ttl=64 time=20.8 ms
64 bytes from 192.168.0.200: icmp_seq=20 ttl=64 time=8.81 ms
64 bytes from 192.168.0.200: icmp_seq=21 ttl=64 time=6.81 ms
64 bytes from 192.168.0.200: icmp_seq=22 ttl=64 time=6.80 ms
64 bytes from 192.168.0.200: icmp_seq=23 ttl=64 time=6.82 ms
64 bytes from 192.168.0.200: icmp_seq=24 ttl=64 time=10.1 ms
64 bytes from 192.168.0.200: icmp_seq=25 ttl=64 time=35.4 ms
64 bytes from 192.168.0.200: icmp_seq=26 ttl=64 time=5.78 ms
64 bytes from 192.168.0.200: icmp_seq=27 ttl=64 time=6.84 ms
64 bytes from 192.168.0.200: icmp_seq=28 ttl=64 time=6.05 ms
64 bytes from 192.168.0.200: icmp_seq=29 ttl=64 time=6.87 ms
64 bytes from 192.168.0.200: icmp_seq=30 ttl=64 time=9.04 ms
64 bytes from 192.168.0.200: icmp_seq=31 ttl=64 time=21.0 ms
64 bytes from 192.168.0.200: icmp_seq=32 ttl=64 time=11.9 ms
64 bytes from 192.168.0.200: icmp_seq=33 ttl=64 time=7.45 ms
64 bytes from 192.168.0.200: icmp_seq=34 ttl=64 time=7.15 ms
64 bytes from 192.168.0.200: icmp_seq=35 ttl=64 time=6.48 ms
64 bytes from 192.168.0.200: icmp_seq=36 ttl=64 time=5.76 ms
64 bytes from 192.168.0.200: icmp_seq=37 ttl=64 time=21.8 ms
64 bytes from 192.168.0.200: icmp_seq=38 ttl=64 time=6.74 ms
64 bytes from 192.168.0.200: icmp_seq=39 ttl=64 time=7.64 ms
64 bytes from 192.168.0.200: icmp_seq=40 ttl=64 time=8.77 ms
64 bytes from 192.168.0.200: icmp_seq=41 ttl=64 time=6.52 ms
64 bytes from 192.168.0.200: icmp_seq=42 ttl=64 time=6.76 ms
64 bytes from 192.168.0.200: icmp_seq=43 ttl=64 time=28.9 ms
64 bytes from 192.168.0.200: icmp_seq=44 ttl=64 time=8.75 ms
64 bytes from 192.168.0.200: icmp_seq=45 ttl=64 time=6.76 ms
64 bytes from 192.168.0.200: icmp_seq=46 ttl=64 time=6.77 ms
64 bytes from 192.168.0.200: icmp_seq=47 ttl=64 time=8.10 ms
64 bytes from 192.168.0.200: icmp_seq=48 ttl=64 time=6.46 ms
64 bytes from 192.168.0.200: icmp_seq=49 ttl=64 time=21.2 ms
64 bytes from 192.168.0.200: icmp_seq=50 ttl=64 time=5.68 ms
64 bytes from 192.168.0.200: icmp_seq=51 ttl=64 time=7.71 ms
64 bytes from 192.168.0.200: icmp_seq=52 ttl=64 time=8.85 ms
64 bytes from 192.168.0.200: icmp_seq=53 ttl=64 time=6.80 ms
64 bytes from 192.168.0.200: icmp_seq=54 ttl=64 time=5.65 ms
64 bytes from 192.168.0.200: icmp_seq=55 ttl=64 time=23.6 ms
64 bytes from 192.168.0.200: icmp_seq=56 ttl=64 time=6.22 ms
64 bytes from 192.168.0.200: icmp_seq=57 ttl=64 time=7.93 ms
64 bytes from 192.168.0.200: icmp_seq=58 ttl=64 time=8.54 ms
64 bytes from 192.168.0.200: icmp_seq=59 ttl=64 time=6.49 ms
64 bytes from 192.168.0.200: icmp_seq=60 ttl=64 time=5.85 ms

--- 192.168.0.200 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 59099ms
rtt min/avg/max/mdev = 5.654/10.513/39.992/7.811 ms
